Upper,     m=16,n=1, i=140,     fi=30,     band=50,5,     obserAnalytic=12,     observModel=13,     long=22,488759,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0224816258948692,     
Upper,     m=16,n=1, i=140,     fi=35,     band=50,5,     obserAnalytic=11,     observModel=12,     long=16,77445,     valid=False,     error=0,     limit=1829,68251924628,     length=0,197251248242249,     
Upper,     m=16,n=1, i=140,     fi=40,     band=30,5,     obserAnalytic=8,     observModel=9,     long=22,477367,     valid=False,     error=0,     limit=1829,68251924628,     length=0,045266703357612,     
Upper,     m=16,n=1, i=140,     fi=60,     band=25,5,     obserAnalytic=3,     observModel=4,     long=16,77445,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0768102849360481,     
Upper,     m=16,n=1, i=145,     fi=65,     band=55,5,     obserAnalytic=9,     observModel=10,     long=16,767679,     valid=False,     error=0,     limit=1831,84632385234,     length=0,0173488712335406,     
Upper,     m=16,n=1, i=145,     fi=80,     band=55,5,     obserAnalytic=8,     observModel=9,     long=5,517679,     valid=False,     error=0,     limit=1831,84632385234,     length=0,15962810270598,     
Lower,     m=16,n=1, i=150,     fi=0,band=10,5,     obserAnalytic=4,     observModel=5,     long=22,466017,     valid=False,     error=0,     limit=1833,74904664111,     length=0,0679652614910005,     
Lower,     m=16,n=1, i=150,     fi=15,     band=10,5,     obserAnalytic=4,     observModel=5,     long=16,761725,     valid=False,     error=0,     limit=1833,74904664111,     length=0,187907098760405,     
Upper,     m=16,n=1, i=150,     fi=20,     band=25,5,     obserAnalytic=9,     observModel=10,     long=16,761725,     valid=False,     error=0,     limit=1833,74904664111,     length=0,0394032358135519,     
Lower,     m=16,n=1, i=155,     fi=15,     band=5,5,     obserAnalytic=3,     observModel=4,     long=1,065463,     valid=False,     error=0,     limit=1835,37890159144,     length=0,116350004702355,     
Upper,     m=16,n=1, i=155,     fi=20,     band=20,5,     obserAnalytic=8,     observModel=9,     long=5,506624,     valid=False,     error=0,     limit=1835,37890159144,     length=0,0670187790141847,     
Upper,     m=16,n=1, i=155,     fi=20,     band=35,5,     obserAnalytic=12,     observModel=13,     long=22,441429,     valid=False,     error=0,     limit=1835,37890159144,     length=0,117142971193005,     
Upper,     m=16,n=1, i=155,     fi=20,     band=40,5,     obserAnalytic=13,     observModel=14,     long=16,756624,     valid=False,     error=0,     limit=1835,37890159144,     length=0,00810617614596154,     
Lower,     m=16,n=1, i=160,     fi=15,     band=0,5,     obserAnalytic=1,     observModel=2,     long=19,122753,     valid=False,     error=0,     limit=1836,72593663233,     length=0,186883358764963,     
Upper,     m=16,n=1, i=160,     fi=30,     band=35,5,     obserAnalytic=10,     observModel=11,     long=22,473244,     valid=False,     error=0,     limit=1836,72593663233,     length=0,0535128316940643,     
Upper,     m=16,n=1, i=160,     fi=45,     band=35,5,     obserAnalytic=6,     observModel=7,     long=22,4497,     valid=False,     error=0,     limit=1836,72593663233,     length=0,10060094298569,     
Upper,     m=16,n=1, i=160,     fi=60,     band=45,5,     obserAnalytic=4,     observModel=5,     long=5,502409,     valid=False,     error=0,     limit=1836,72593663233,     length=0,119650929805439,     
Upper,     m=16,n=1, i=165,     fi=15,     band=10,5,     obserAnalytic=6,     observModel=7,     long=5,499104,     valid=False,     error=0,     limit=1837,78202802202,     length=0,0776933310607149,     
Lower,     m=16,n=1, i=170,     fi=5,band=0,5,     obserAnalytic=0,     observModel=1,     long=16,74673,     valid=False,     error=0,     limit=1838,54087150359,     length=0,052210238700269,     
Upper,     m=16,n=1, i=175,     fi=30,     band=25,5,     obserAnalytic=2,     observModel=3,     long=22,381031,     valid=False,     error=0,     limit=1838,99797269894,     length=0,237937372725298,     
Upper,     m=16,n=1, i=175,     fi=35,     band=30,5,     obserAnalytic=2,     observModel=3,     long=22,442525,     valid=False,     error=0,     limit=1838,99797269894,     length=0,114949028336639,     
