Upper,     m=2, n=1, i=49,fi=15,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=17086,9194764836,     limit=14378,6383514488,     length=0,449474919714447,     
Upper,     m=2, n=1, i=49,fi=16,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=16460,3113354354,     limit=14378,6383514488,     length=0,0522778522746705,     
Upper,     m=2, n=1, i=49,fi=16,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=16460,3113354354,     limit=14378,6383514488,     length=0,447208734536645,     
Upper,     m=2, n=1, i=49,fi=16,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=16460,3113354354,     limit=14378,6383514488,     length=0,810746533516237,     
Upper,     m=2, n=1, i=49,fi=17,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15906,1053955587,     limit=14378,6383514488,     length=0,413816175990945,     
Upper,     m=2, n=1, i=49,fi=17,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15906,1053955587,     limit=14378,6383514488,     length=0,834637749481459,     
Upper,     m=2, n=1, i=49,fi=17,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15906,1053955587,     limit=14378,6383514488,     length=1,22696567102841,     
Upper,     m=2, n=1, i=49,fi=18,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15404,2265010741,     limit=14378,6383514488,     length=0,35516257126676,     
Upper,     m=2, n=1, i=49,fi=18,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15404,2265010741,     limit=14378,6383514488,     length=0,825714777776938,     
Upper,     m=2, n=1, i=49,fi=18,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15404,2265010741,     limit=14378,6383514488,     length=1,27226798135897,     
Upper,     m=2, n=1, i=49,fi=18,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=15404,2265010741,     limit=14378,6383514488,     length=1,69276033381763,     
Upper,     m=2, n=1, i=49,fi=19,     band=58,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14942,4979181483,     limit=14378,6383514488,     length=0,274663419443982,     
Upper,     m=2, n=1, i=49,fi=19,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14942,4979181483,     limit=14378,6383514488,     length=0,789638273579925,     
Upper,     m=2, n=1, i=49,fi=19,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14942,4979181483,     limit=14378,6383514488,     length=1,28398943261126,     
Upper,     m=2, n=1, i=49,fi=19,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14942,4979181483,     limit=14378,6383514488,     length=1,75614227185918,     
Upper,     m=2, n=1, i=49,fi=19,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14942,4979181483,     limit=14378,6383514488,     length=2,20432472121323,     
Upper,     m=2, n=1, i=49,fi=20,     band=57,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14512,6921239209,     limit=14378,6383514488,     length=0,174463609642686,     
Upper,     m=2, n=1, i=49,fi=20,     band=58,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14512,6921239209,     limit=14378,6383514488,     length=0,729904906270775,     
Upper,     m=2, n=1, i=49,fi=20,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14512,6921239209,     limit=14378,6383514488,     length=1,26738314828833,     
Upper,     m=2, n=1, i=49,fi=20,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14512,6921239209,     limit=14378,6383514488,     length=1,78565102520082,     
Upper,     m=2, n=1, i=49,fi=20,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14512,6921239209,     limit=14378,6383514488,     length=2,2833240944754,     
Upper,     m=2, n=1, i=49,fi=20,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=14512,6921239209,     limit=14378,6383514488,     length=2,7588584967601,     
Upper,     m=2, n=1, i=50,fi=12,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=18629,7907932734,     limit=14378,6740322683,     length=0,0194516982210189,     
Upper,     m=2, n=1, i=50,fi=13,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=17738,5833054946,     limit=14378,6740322683,     length=0,265717951657791,     
Upper,     m=2, n=1, i=50,fi=14,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=17023,7743455774,     limit=14378,6740322683,     length=0,262010233254443,     
Upper,     m=2, n=1, i=50,fi=14,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=17023,7743455774,     limit=14378,6740322683,     length=0,586835004191784,     
Upper,     m=2, n=1, i=50,fi=15,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=16411,6451257589,     limit=14378,6740322683,     length=0,228831864378094,     
Upper,     m=2, n=1, i=50,fi=15,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=16411,6451257589,     limit=14378,6740322683,     length=0,615292063027653,     
Upper,     m=2, n=1, i=50,fi=15,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=16411,6451257589,     limit=14378,6740322683,     length=0,970099927963645,     
Upper,     m=2, n=1, i=50,fi=16,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15867,3108625439,     limit=14378,6740322683,     length=0,172724270957502,     
Upper,     m=2, n=1, i=50,fi=16,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15867,3108625439,     limit=14378,6740322683,     length=0,611481833387671,     
Upper,     m=2, n=1, i=50,fi=16,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15867,3108625439,     limit=14378,6740322683,     length=1,02401919363734,     
Upper,     m=2, n=1, i=50,fi=16,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15867,3108625439,     limit=14378,6740322683,     length=1,40786881121687,     
Upper,     m=2, n=1, i=50,fi=17,     band=58,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15373,658265916,     limit=14378,6740322683,     length=0,0971925526258985,     
Upper,     m=2, n=1, i=50,fi=17,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005408,     valid=False,     error=15373,658265916,     limit=14378,6740322683,     length=0,581993934491152,     
